,Unnamed: 0,building_grade,people_grade,property_grade,indirect_grade,construction_grade,disaster_grade,clustering_KM,clustering_DB,clustering_AC,clustering_GMM
199,199,14,4,5,0,0,0,2,-1,4,0
200,200,16,0,1,0,0,0,2,-1,4,0
201,201,14,0,1,0,0,0,2,-1,4,0
202,202,14,0,2,8,0,0,2,-1,4,0
203,203,14,4,3,6,0,0,2,-1,4,0
204,204,17,4,7,6,0,0,2,-1,4,0
205,205,14,0,7,6,0,0,2,-1,4,0
206,206,14,2,8,6,2,0,2,-1,4,0
207,207,14,2,9,6,2,0,2,-1,4,0
208,208,16,6,8,8,0,0,2,-1,4,0
209,209,14,6,8,8,0,0,2,-1,4,0
210,210,14,0,7,0,0,10,2,-1,4,2
211,211,16,0,8,0,0,10,2,-1,4,2
212,212,16,6,7,10,2,0,2,-1,4,2
213,213,14,6,6,10,2,0,2,-1,4,2
214,214,16,6,7,10,2,0,2,-1,4,2
215,215,14,4,8,0,0,0,2,-1,4,0
216,216,14,4,8,0,0,0,2,-1,4,0
217,217,14,4,8,0,0,0,2,-1,4,0
218,218,16,1,8,4,0,0,2,-1,4,0
219,219,14,1,8,4,0,0,2,-1,4,0
220,220,14,1,9,0,0,0,2,-1,4,0
221,221,16,3,7,0,0,0,2,-1,4,0
222,222,14,4,8,8,4,0,2,-1,4,2
223,223,14,4,8,8,4,0,2,-1,4,2
224,224,14,3,8,8,0,0,2,-1,4,0
225,225,14,3,8,8,0,0,2,-1,4,0
226,226,16,1,8,0,0,0,2,-1,2,4
227,227,16,1,8,0,0,0,2,-1,2,4
228,228,16,1,7,0,0,0,3,-1,2,4
229,229,14,0,5,0,0,0,3,-1,2,0
230,230,14,0,7,4,0,0,3,-1,2,0
231,231,12,0,7,0,0,0,3,-1,2,4
232,232,14,0,8,0,0,0,3,-1,2,0
233,233,14,0,8,0,0,0,3,-1,2,0
234,234,16,4,7,0,0,0,3,-1,2,4
235,235,14,4,7,0,0,0,3,-1,2,0
236,236,16,4,8,0,0,0,3,-1,2,4
237,237,14,4,8,0,0,0,3,-1,2,0
238,238,16,0,7,0,0,0,3,-1,2,4
239,239,14,0,8,2,0,0,3,-1,2,0
240,240,16,2,8,0,0,0,3,-1,2,4
241,241,16,2,8,0,0,0,3,-1,2,4
242,242,14,2,0,0,0,0,3,-1,2,4
243,243,14,3,1,0,0,0,3,-1,2,4
244,244,14,0,7,0,2,0,3,-1,2,4
245,245,14,4,7,0,0,0,3,-1,2,0
246,246,14,4,7,0,0,0,3,-1,2,0
247,247,14,0,2,0,0,10,3,-1,2,2
248,248,16,3,4,0,0,0,3,-1,2,4
249,249,16,3,2,0,0,0,3,-1,2,4
250,250,16,3,4,0,0,0,3,-1,2,4
251,251,14,6,1,0,0,0,3,-1,2,4
252,252,14,2,5,0,0,0,3,-1,2,4
253,253,14,2,5,0,0,0,3,-1,2,4
254,254,14,8,0,8,0,0,3,-1,2,4
255,255,16,0,2,0,0,0,3,-1,2,4
256,256,16,8,2,10,0,0,3,-1,2,4
257,257,16,0,2,0,0,0,3,-1,2,4
258,258,14,0,2,0,0,0,3,-1,2,4
259,259,14,4,2,0,0,0,3,-1,2,4
260,260,14,0,2,0,0,0,3,-1,2,4
261,261,14,8,0,8,0,0,3,-1,2,4
262,262,14,8,0,8,0,0,3,-1,2,4
263,263,14,0,0,0,0,0,3,-1,2,4
264,264,14,8,0,8,0,0,3,-1,2,4
265,265,12,8,0,8,0,0,3,-1,2,4
266,266,14,0,6,0,0,0,3,-1,2,0
267,267,14,0,3,0,4,0,3,-1,2,4
268,268,14,0,7,0,0,0,3,-1,2,0
269,269,14,3,5,0,0,0,3,-1,2,0
270,270,14,0,0,0,0,0,3,-1,2,4
271,271,18,6,8,2,0,0,3,-1,2,4
272,272,20,0,8,2,0,0,3,-1,2,4
273,273,18,7,6,0,2,0,3,-1,2,4
274,274,18,7,6,0,2,0,3,-1,2,4
275,275,20,5,6,0,2,0,3,-1,2,4
276,276,18,4,4,6,2,0,3,-1,2,4
277,277,20,4,3,4,2,0,3,-1,2,4
278,278,18,0,2,4,0,0,3,-1,2,4
279,279,18,1,4,4,0,0,3,-1,2,4
280,280,18,0,5,4,0,0,3,-1,2,4
281,281,20,0,6,0,0,0,3,-1,2,4
282,282,20,0,6,0,0,0,3,-1,2,4
283,283,18,1,6,0,2,0,3,-1,2,4
