세부용도명,법정동명지번,Latitude,Longitude
요양병원,전라북도 전주시 덕진구 금암동1554-2,35.8412211,127.1386491
영유아보육시설,전라북도 전주시 덕진구 금암동1561-16,35.8398674,127.1387811
기타아동관련시설,전라북도 전주시 덕진구 금암동1561-18,35.8398583,127.1388941
도서관,전라북도 전주시 덕진구 금암동1569-1,35.836314,127.1400957
유치원,전라북도 전주시 덕진구 금암동1573-11,35.8380065,127.1417157
어린이집,전라북도 전주시 덕진구 금암동1574-5,35.8388605,127.1425488
노인복지시설,전라북도 전주시 덕진구 금암동1575-7,35.8386676,127.1416554
고압가스충전저장소,전라북도 전주시 덕진구 금암동1582-1,35.8411733,127.1411624
기타위험물저장처리시설,전라북도 전주시 덕진구 금암동1587-15,35.8424401,127.1403473
기숙사,전라북도 전주시 덕진구 금암동1587-74,35.8410241,127.139208
노유자시설,전라북도 전주시 덕진구 금암동1600-6,35.842594,127.1441038
공장,전라북도 전주시 덕진구 금암동1600-8,35.8424855,127.1443009
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
고등학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
고등학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
고등학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
대학교,전라북도 전주시 덕진구 금암동43483,35.8410418,127.1362788
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가43668,35.8566111,127.1053125
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가43668,35.8566111,127.1053125
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가43668,35.8566111,127.1053125
노인복지시설,전라북도 전주시 덕진구 팔복동1가34,35.8559675,127.1127841
기타노유자시설,전라북도 전주시 덕진구 팔복동1가38,35.855719,127.1122067
기타노유자시설,전라북도 전주시 덕진구 팔복동1가38,35.855719,127.1122067
영유아보육시설,전라북도 전주시 덕진구 팔복동1가38,35.855719,127.1122067
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가20486,35.8566111,127.1053125
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가20486,35.8566111,127.1053125
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가20486,35.8566111,127.1053125
위험물저장및처리시설,전라북도 전주시 덕진구 팔복동1가93,35.8519607,127.1115002
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가140-6,35.8545934,127.1043366
공장,전라북도 전주시 덕진구 팔복동1가154-1,35.8578241,127.1063285
근로복지시설,전라북도 전주시 덕진구 팔복동1가186-1,35.8560854,127.1091093
공장,전라북도 전주시 덕진구 팔복동1가188-18,35.8551189,127.1093105
공장,전라북도 전주시 덕진구 팔복동1가188-18,35.8551189,127.1093105
공장,전라북도 전주시 덕진구 팔복동1가218-1,35.8589558,127.1074983
공장,전라북도 전주시 덕진구 팔복동1가269-11,35.8583408,127.1044295
노인복지시설,전라북도 전주시 덕진구 팔복동1가273-9,35.8550423,127.1044577
기타위험물저장처리시설,전라북도 전주시 덕진구 팔복동1가280-6,35.8572183,127.1047366
액화석유가스충전소,전라북도 전주시 덕진구 팔복동1가282-2,35.8583201,127.1052734
액화석유가스충전소,전라북도 전주시 덕진구 팔복동1가305-7,35.8548146,127.1036598
액화석유가스충전소,전라북도 전주시 덕진구 팔복동1가305-7,35.8548146,127.1036598
액화석유가스충전소,전라북도 전주시 덕진구 팔복동1가305-7,35.8548146,127.1036598
기숙사,전라북도 전주시 덕진구 팔복동1가356-6,35.8619008,127.0991102
어린이집,전라북도 전주시 덕진구 팔복동1가383-11,35.8599979,127.0943874
액화석유가스충전소,전라북도 전주시 덕진구 팔복동2가43739,35.8554553,127.095419
액화석유가스충전소,전라북도 전주시 덕진구 팔복동2가43739,35.8554553,127.095419
공장,전라북도 전주시 덕진구 팔복동2가20-19,35.8522852,127.1093123
공장,전라북도 전주시 덕진구 팔복동2가43646,35.8554553,127.095419
노인복지시설,전라북도 전주시 덕진구 팔복동2가144-11,35.8486318,127.1037914
공장,전라북도 전주시 덕진구 팔복동2가166-4,35.8507518,127.1026118
공장,전라북도 전주시 덕진구 팔복동2가166-4,35.8507518,127.1026118
공장,전라북도 전주시 덕진구 팔복동2가166-4,35.8507518,127.1026118
공장,전라북도 전주시 덕진구 팔복동2가166-4,35.8507518,127.1026118
기숙사,전라북도 전주시 덕진구 팔복동2가180-5,35.8496348,127.1008819
영유아보육시설,전라북도 전주시 덕진구 팔복동2가220,35.8513805,127.1009895
노인복지시설,전라북도 전주시 덕진구 팔복동2가225-7,35.8512903,127.1012097
