,학교명,등급,소재지지번주소,Latitude,Longitude,주거,직장,유동,인구총합
21,전북대 공과대학2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
22,전북대 공과대학3호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
23,전북대 공과대학5호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
24,전북대 공과대학6호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
25,전북대 공과대학7호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
26,전북대 공대부속공장,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1297,1297
27,전북대 글로벌인재관(구학습도서관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1045,1045
28,전북대 농과대학1호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
29,전북대 농과대학2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
30,전북대 농과대학3호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
31,전북대 농과대학4호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
32,전북대 농대본관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
33,전북대 농대본관(농업과학기술연구소),불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
34,전북대 농대시설재배온실,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,681,681
35,전북대 대학본부(별관포함),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,524,524
36,전북대 동아리전용관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,513,513
37,전북대 반도체물성연구소,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,708,708
38,전북대 변전실,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,513,513
39,전북대 사대부고(본관),불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,0,0,1230,1230
40,전북대 사대부고생활관,불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,0,0,1230,1230
41,전북대 사대부고체육관,불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,0,0,1230,1230
42,전북대 사범대 과학관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,36,14,369,419
43,전북대 사범대 본관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,36,14,369,419
44,전북대 사회과학대학,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,708,708
45,전북대 산학협련단별관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,708,708
46,전북대 상과대학 1호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,567,567
47,전북대 상과대학 2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,678,678
48,전북대 생활과학대학,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,86,40,995,1121
49,전북대 생활관 3호관(진리관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
50,전북대 생활관 5호관(대동관),B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,88,0,576,664
51,전북대 생활관 관리동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
52,전북대 언어교육원,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1260,1260
53,전북대 예술대 미술관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
54,전북대 예술대 예체능관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
55,전북대 예술대학 2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
56,전북대 예술대학 본관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,22,0,758,780
57,전북대 의과대학1호관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1515,1515
58,전북대 의과대학2호관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1515,1515
59,전북대 의학계 학생회관,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1515,1515
60,전북대 의학계도서관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,467,467
61,전북대 인문과학대학 1호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,105,0,548,653
62,전북대 인문과학대학 2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,258,258
63,전북대 자연과학대학 1호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,284,2219,2503
64,전북대 자연과학대학 2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1680,1680
65,전북대 자연과학대학 3호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1247,1247
66,전북대 자연과학대학 4호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1348,1348
67,전북대 자연과학대학 5호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,910,910
68,전북대 자연과학대학 본관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,4408,1254,5662
69,전북대 자연사박물관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,179,284,1952,2415
70,전북대 정보전산원 교육동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,74,40,995,1109
71,전북대 정보전산원 본부동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,74,40,995,1109
72,전북대 제1학생회관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1248,1248
73,전북대 제2도서관(구중앙도서관 본관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,725,725
74,전북대 제2학생회관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1358,1358
75,전북대 제2후생관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,767,767
76,전북대 체육관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,285,60,323,668
77,전북대 치과대학 2호관,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1959,1959
78,전북대 치과대학 3호관(수의과대학 본관),B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1534,1534
79,전북대 치과대학 본관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,1425,1425
80,전북대 치과대학 의학계열공용관(동물병원 전주캠),B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,4000,4582,8582
81,전북대 평생교육원,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1425,1425
82,전북대 학습도서관(구중앙도서관 별관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1425,1425
83,전북대 합동강의실(전대학술문화관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1425,1425
84,전북대 후생관(제1후생관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1425,1425
85,전북대학교병원 교수연구동,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,0,61,61
86,전북대학교병원 장례식장,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,4000,1595,5595
87,전북대학교병원 치과병원,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,0,4000,5680,9680
88,전일중학교 교사1동,C등급,전라북도 전주시 덕진구 모래내6길 36,35.8383053,127.1452047,366,204,662,1232
89,전일중학교 교사2동,C등급,전라북도 전주시 덕진구 모래내6길 36,35.8383053,127.1452047,369,195,630,1194
90,전주고등학교 기숙사 1,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,244,156,1250,1650
91,전주고등학교 기숙사 2,C등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,244,156,1250,1650
92,전주고등학교 대강당,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,184,194,3649,4027
93,전주고등학교 본관동,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,184,194,3649,4027
94,전주고등학교 체육관,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,184,194,3649,4027
95,전주고등학교 후관(특별교사 : 과학동),B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,138,654,5202,5994
96,전주곤지중학교 본관,B등급,전라북도 전주시 완산구 매곡로 22 전주완산초등학교,35.810056,127.1438624,436,150,1080,1666
97,전주공업고등학교 실습실/직업훈련동,C등급,전라북도 전주시 덕진구 여산로 101,35.8634209,127.0742709,0,200,1761,1961
98,전주교육대학교 교육문화관,A등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,577,190,465,1232
99,전주교육대학교 기숙사,A등급,전라북도 전주시 완산구 천경로 11 ,35.8077841,127.1524219,546,182,415,1143
100,전주교육대학교 대학본부동,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,49,289,426,764
101,전주교육대학교 도서관,A등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,129,324,754,1207
102,전주교육대학교 미술실과관,A등급,전라북도 전주시 완산구 서학로 70,35.8087179,127.1572938,49,289,426,764
103,전주교육대학교 전산사회관,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,60,405,378,843
104,전주교육대학교 학생회관,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,216,334,809,1359
105,전주교육대학교 황학당,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,49,289,426,764
106,전주금암초등학교 교사1,B등급,전라북도 전주시 덕진구 권삼득로 210,35.8377291,127.1367111,431,356,1952,2739
107,전주금암초등학교 교사2,B등급,전라북도 전주시 덕진구 권삼득로 210,35.8377291,127.1367111,431,356,1952,2739
108,전주금평초등학교 교사1(본관),B등급,전라북도 전주시 덕진구 명주3길 16,35.8436243,127.1474158,528,427,2155,3110
109,전주금평초등학교 교사2(서관),B등급,전라북도 전주시 덕진구 명주3길 16,35.8436243,127.1474158,528,427,2155,3110
110,전주기린중학교 사무소건(본관동),B등급,전라북도 전주시 덕진구 동부대로 739,35.848752,127.1464411,261,234,4907,5402
111,전주기린초등학교 교사4동,B등급,전라북도 전주시 덕진구 견훤로 260,35.8346915,127.1597066,736,264,2062,3062
112,전주남중학교 본관(교사동),C등급,전라북도 전주시 완산구 덕적골2길 30 전주남중학교,35.7961131,127.1403075,3424,255,1577,5256
113,전주남초등학교 교사1동,B등급,전라북도 전주시 완산구 장승배기로 376 전주남초등학교,35.8034458,127.1507508,312,190,2347,2849
114,전주남초등학교 교사3동,B등급,전라북도 전주시 완산구 장승배기로 376 전주남초등학교,35.8034458,127.1507508,312,190,2347,2849
115,전주남초등학교 체육관,B등급,전라북도 전주시 완산구 장승배기로 376,35.8033598,127.1507905,272,208,5181,5661
116,전주대성초등학교 교사동,B등급,전라북도 전주시 완산구 고덕산1길 20,35.7975438,127.1777827,409,47,3944,4400
117,전주덕일중학교 본관(교실),C등급,전라북도 전주시 덕진구 하가로 67,35.8479425,127.1113458,506,108,899,1513
118,전주덕일초등학교 별관,B등급,전라북도 전주시 덕진구 하가로 71,35.8486913,127.1121699,343,274,3596,4213
119,전주덕일초등학교 본관,C등급,전라북도 전주시 덕진구 하가로 71,35.8486913,127.1121699,343,274,3596,4213
120,전주덕진초등학교 교실1(후관동),B등급,전라북도 전주시 덕진구 들사평로 61,35.8415348,127.1244393,6,27,422,455
121,전주동북초등학교 본관,B등급,전라북도 전주시 덕진구 견훤왕궁로 227,35.8393814,127.1448157,292,229,606,1127
122,전주동북초등학교 후관,B등급,전라북도 전주시 덕진구 견훤왕궁로 227,35.8393814,127.1448157,292,229,606,1127
123,전주동신초등학교 사무소(본관동),B등급,전라북도 전주시 덕진구 우아9길 1 전주동신초등학교,35.8518012,127.1564156,1476,209,1778,3463
124,전주동중학교 강당,B등급,전라북도 전주시 덕진구 심방죽로 23,35.8386852,127.1503455,107,114,1759,1980
125,전주동중학교 교사1,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,107,114,1759,1980
126,전주동중학교 교사2,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,107,114,1759,1980
127,전주동중학교 교사3,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,107,114,1759,1980
128,전주동초등학교 교사,B등급,전라북도 전주시 완산구 물왕멀로 72 전주동초등학교,35.8290261,127.1523055,660,200,780,1640
129,전주문정초등학교 교사동1(본관),C등급,전라북도 전주시 완산구 구이로 1979,35.7754577,127.1275964,63,0,1445,1508
130,전주미산초등학교 교사1(본관),B등급,전라북도 전주시 덕진구 전미로 160 미산초등학교,35.8838799,127.1095026,11,12,1074,1097
131,전주반월초등학교 본관,B등급,전라북도 전주시 덕진구 혁신로 707,35.8754945,127.0737894,546,279,2527,3352
132,전주부설초등학교 본관동,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,413,203,310,926
133,전주부설초등학교 식당특별교실,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,413,203,310,926
134,전주부설초등학교 저학년동,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,413,203,310,926
135,전주북일초등학교 본관(1동),B등급,전라북도 전주시 덕진구 견훤로 336,35.8421911,127.1556956,1425,195,3821,5441
136,전주북초등학교 교사,B등급,전라북도 전주시 덕진구 견훤로 336,35.8421911,127.1556956,2249,312,3932,6493
137,전주삼천초등학교 본관,C등급,전라북도 전주시 완산구 성지산로 38,35.8007149,127.1234834,2055,216,1289,3560
138,전주상업정보고등학교 본관,B등급,전라북도 전주시 완산구 따박골2길 21 전주상업정보고등학교,35.8101667,127.125253,1001,267,2505,3773
139,전주생명과학고등학교 1본관 교실,B등급,전라북도 전주시 덕진구 안덕원로 195 전주생명과학고등학교,35.8399673,127.147606,12,0,867,879
140,전주생명과학고등학교 2본관 교실,B등급,전라북도 전주시 덕진구 안덕원로 195 전주생명과학고등학교,35.8399673,127.147606,12,0,867,879
141,전주생명과학고등학교 4본관,B등급,전라북도 전주시 덕진구 안덕원로 195 전주생명과학고등학교,35.8399673,127.147606,12,0,867,879
142,전주생명과학고등학교 식품가공관 및 산업기계관,B등급,전라북도 전주시 덕진구 안덕원로 195 전주생명과학고등학교,35.8399673,127.147606,12,0,867,879
143,전주서곡중학교 서곡중학교,B등급,전라북도 전주시 완산구 서곡6길 23,35.8356469,127.1039286,1022,644,3034,4700
144,전주서곡초등학교 교사동,B등급,전라북도 전주시 완산구 서곡7길 30,35.8328635,127.1005299,1731,176,5155,7062
145,전주서문초등학교 교사1동,B등급,전라북도 전주시 완산구 서신천변11길 19,35.8296648,127.1120554,919,463,4389,5771
146,전주서문초등학교 교사2동,B등급,전라북도 전주시 완산구 서신천변11길 19,35.8296648,127.1120554,919,463,4389,5771
147,전주서신중학교 교사,B등급,전라북도 전주시 완산구 안터2길 40,35.8287284,127.1167098,1022,644,3034,4700
148,전주서신초등학교 강당및 급식소,B등급,전라북도 전주시 완산구 전룡로 119,35.8297445,127.1247614,49,149,589,787
149,전주서신초등학교 교사1동,B등급,전라북도 전주시 완산구 전룡로 119,35.8297445,127.1247614,49,149,589,787
150,전주서신초등학교 교사2동,B등급,전라북도 전주시 완산구 전룡로 119,35.8297445,127.1247614,49,149,589,787
151,전주서신초등학교 교사3동,B등급,전라북도 전주시 완산구 전룡로 119,35.8297445,127.1247614,49,149,589,787
152,전주서원초등학교 교사1,A등급,전라북도 전주시 완산구 오두정길 45,35.8097765,127.1187742,777,183,960,1920
153,전주서원초등학교 교사2,B등급,전라북도 전주시 완산구 오두정길 45,35.8097765,127.1187742,777,183,960,1920
154,전주서원초등학교 교사3,A등급,전라북도 전주시 완산구 오두정길 45,35.8097765,127.1187742,777,183,960,1920
155,전주서일초등학교 교사1(본관),B등급,전라북도 전주시 완산구 새터로 73,35.8363631,127.1149615,2080,102,1945,4127
156,전주서일초등학교 교사2(별관),B등급,전라북도 전주시 완산구 새터로 73,35.8363631,127.1149615,2080,102,1945,4127
157,전주서중학교 교사 및 강당,C등급,전라북도 전주시 완산구 당산로 2 전주서중학교,35.8315528,127.1098928,2188,379,4012,6579
158,전주서천초등학교 교사동,B등급,전라북도 전주시 완산구 당산로 9,35.8322952,127.1085728,2265,204,4744,7213
159,전주선화학교 교사(본관),B등급,전라북도 전주시 완산구 효자로 39 전주선화학교,35.8203812,127.090368,109,55,3989,4153
160,전주선화학교 교사(서관),B등급,전라북도 전주시 완산구 효자로 39 전주선화학교,35.8203812,127.090368,109,55,3989,4153
161,전주선화학교 식생활관,B등급,전라북도 전주시 완산구 효자로 39 전주선화학교,35.8203812,127.090368,109,55,3989,4153
162,전주솔내고등학교 교사동,B등급,전라북도 전주시 덕진구 송천중앙로 170,35.8627626,127.1230034,8,507,9074,9589
163,전주솔내고등학교 기숙사,B등급,전라북도 전주시 덕진구 송천중앙로 170,35.8627626,127.1230034,8,507,9074,9589
164,전주솔내고등학교 체육관(강당및급식실),B등급,전라북도 전주시 덕진구 송천중앙로 170,35.8627626,127.1230034,8,507,9074,9589
165,전주솔빛중학교 급식실및교실,B등급,전라북도 전주시 덕진구 솔내6길 33,35.8592,127.124389,297,289,3245,3831
166,전주솔빛중학교 본관,B등급,전라북도 전주시 덕진구 솔내6길 33,35.8592,127.124389,297,289,3245,3831
167,전주송북초등학교 강당및급식소,B등급,전라북도 전주시 덕진구 천마산로 16,35.8633129,127.1244312,1007,395,9063,10465
168,전주송북초등학교 교사동,B등급,전라북도 전주시 덕진구 천마산로 16,35.8633129,127.1244312,1007,395,9063,10465
169,전주송천초등학교 교사동1(본관),B등급,전라북도 전주시 덕진구 송천1길 10 전주송천초등학교,35.8576601,127.1197604,612,539,5178,6329
170,전주송천초등학교 교사동2(서관),B등급,전라북도 전주시 덕진구 송천1길 10 전주송천초등학교,35.8576601,127.1197604,612,539,5178,6329
171,전주송천초등학교 교사동3(후관),B등급,전라북도 전주시 덕진구 송천1길 10 전주송천초등학교,35.8576601,127.1197604,612,539,5178,6329
172,전주신동초등학교 강당/급식소,B등급,전라북도 전주시 덕진구 솔내로 211,35.8692108,127.1266286,1812,122,13367,15301
173,전주신동초등학교 교사동,B등급,전라북도 전주시 덕진구 솔내로 211,35.8692108,127.1266286,1812,122,13367,15301
174,전주신성초등학교 교사1동,B등급,전라북도 전주시 완산구 평화8길 16-36,35.790106,127.1341102,1638,342,1189,3169
175,전주신성초등학교 교사2동,B등급,전라북도 전주시 완산구 평화8길 16-36,35.790106,127.1341102,1638,342,1189,3169
176,전주신일중학교 본관동,B등급,전라북도 전주시 완산구 견훤왕궁2길 8,35.8291113,127.1524818,833,226,928,1987
177,전주아중초등학교 교사1,B등급,전라북도 전주시 덕진구 인교5길 23,35.828032,127.17536,484,63,2596,3143
178,전주아중초등학교 교사2,B등급,전라북도 전주시 덕진구 인교5길 23,35.828032,127.17536,484,63,2596,3143
179,전주양지중학교 본관,B등급,전라북도 전주시 완산구 양지2길 11-16,35.7920451,127.1244548,63,453,1371,1887
180,전주양지초등학교 강당,C등급,전라북도 전주시 완산구 양지2길 11-26 양지초등학교,35.7924744,127.1260034,30,453,1197,1680
181,전주양지초등학교 교사1,B등급,전라북도 전주시 완산구 양지2길 11-26 양지초등학교,35.7924744,127.1260034,30,453,1197,1680
182,전주양지초등학교 교사2,B등급,전라북도 전주시 완산구 양지2길 11-26 양지초등학교,35.7924744,127.1260034,30,453,1197,1680
183,전주여울초등학교 본관,B등급,전라북도 전주시 완산구 고사평8길 11,35.837488,127.1111857,317,282,1390,1989
184,전주여자고등학교 강당,B등급,전라북도 전주시 덕진구 모래내6길 14 전주여자고등학교,35.8362484,127.1464424,434,279,1282,1995
185,전주여자고등학교 교사(특별교실),B등급,전라북도 전주시 덕진구 모래내6길 14 전주여자고등학교,35.8362484,127.1464424,434,279,1282,1995
186,전주여자고등학교 교사(후관),B등급,전라북도 전주시 덕진구 모래내6길 14 전주여자고등학교,35.8362484,127.1464424,434,279,1282,1995
187,전주여자고등학교 식생활관,C등급,전라북도 전주시 덕진구 모래내6길 14 전주여자고등학교,35.8362484,127.1464424,434,279,1282,1995
188,전주영어체험학습센터,C등급,전라북도 전주시 덕진구 건산로 205,35.8346915,127.1597066,903,539,1925,3367
189,전주온고을중학교 제1동 본관,B등급,전라북도 전주시 덕진구 무삼지로 26,35.8294565,127.1657517,3026,187,1714,4927
190,전주온고을중학교 제2동 강당급식소,B등급,전라북도 전주시 덕진구 무삼지로 26,35.8294565,127.1657517,3026,187,1714,4927
191,전주완산서초등학교 본관,C등급,전라북도 전주시 완산구 안행로 127,35.806979,127.1332964,444,233,4786,5463
192,전주완산초등학교 교사동1,B등급,전라북도 전주시 완산구 안행로 127,35.806979,127.1332964,444,233,4786,5463
193,전주완산초등학교 교사동2,C등급,전라북도 전주시 완산구 안행로 127,35.806979,127.1332964,444,233,4786,5463
194,전주용덕초등학교 교사 1동,B등급,전라북도 전주시 덕진구 용덕길 30,35.8769289,127.0516585,39,26,80,145
195,전주용흥초등학교 교사,B등급,전라북도 전주시 완산구 삼천천변1길 16,35.7944584,127.1122348,1576,162,4236,5974
196,전주우아중학교 강당,B등급,전라북도 전주시 덕진구 호성로 6,35.8542576,127.1538705,1003,226,4397,5626
197,전주우아중학교 교사,C등급,전라북도 전주시 덕진구 호성로 6,35.8542576,127.1538705,1003,226,4397,5626
198,전주우전중학교 교사,B등급,전라북도 전주시 완산구 쑥고개로 375-28,35.8054944,127.1066794,512,232,2340,3084
199,전주우전초등학교 교사1,B등급,전라북도 전주시 완산구 우전2길 11 우전초등학교,35.8055281,127.106866,473,214,3143,3830
200,전주우전초등학교 교사2,B등급,전라북도 전주시 완산구 우전2길 11 우전초등학교,35.8055281,127.106866,473,214,3143,3830
201,전주은화학교 교사동,C등급,전라북도 전주시 완산구 효자로 28-20 전주은화학교,35.8190261,127.0863398,640,207,908,1755
202,전주은화학교 기숙사동,B등급,전라북도 전주시 완산구 효자로 28-20 전주은화학교,35.8190261,127.0863398,640,207,908,1755
203,전주인봉초등학교 본관,B등급,전라북도 전주시 덕진구 무삼지로 7,35.8269357,127.1649923,676,502,2606,3784
204,전주인후초등학교 인후초등학교 1동,B등급,전라북도 전주시 덕진구 무삼지로 67 인후초등학교,35.8315815,127.1625822,338,747,4954,6039
205,전주인후초등학교 인후초등학교 3동|BU00083246,불명,전라북도 전주시 덕진구 무삼지로 67 인후초등학교,35.8315815,127.1625822,338,747,4954,6039
206,전주장동초등학교 교사동3,B등급,전라북도 전주시 덕진구 원장동길 91-12 장동초등학교,35.8491609,127.0603415,34,0,153,187
207,전주전라초등학교 본관동,B등급,전라북도 전주시 덕진구 심방죽로 24 전라초등학교,35.8391637,127.1522497,1116,183,1491,2790
208,전주전라초등학교 후관동,B등급,전라북도 전주시 덕진구 심방죽로 24 전라초등학교,35.8391637,127.1522497,1116,183,1491,2790
209,전주전일초등학교 강당,C등급,전라북도 전주시 덕진구 태진로 98,35.8301251,127.1375173,162,339,3191,3692
210,전주전일초등학교 교사,B등급,전라북도 전주시 덕진구 태진로 98,35.8301251,127.1375173,162,339,3191,3692
211,전주제일고등학교 과학관,B등급,전라북도 전주시 완산구 관선5길 15 전주제일고등학교,35.821542,127.1583634,407,356,1203,1966
212,전주제일고등학교 본관,C등급,전라북도 전주시 완산구 관선5길 15 전주제일고등학교,35.821542,127.1583634,407,356,1203,1966
213,전주조촌초등학교 교사 2동,C등급,전라북도 전주시 덕진구 쪽구름로 39,35.8696041,127.0759541,1031,337,8642,10010
214,전주조촌초등학교 교사 3동,B등급,전라북도 전주시 덕진구 쪽구름로 39,35.8696041,127.0759541,1031,337,8642,10010
215,전주조촌초등학교 교사 5동,C등급,전라북도 전주시 덕진구 쪽구름로 39,35.8696041,127.0759541,1031,337,8642,10010
