,Latitude,Longitude,clustering_KM,clustering_DB,clustering_AC,clustering_GMM
211,35.821542,127.1583634,2,-1,4,2
212,35.86960410000001,127.0759541,2,-1,4,2
213,35.86960410000001,127.0759541,2,-1,4,2
214,35.86960410000001,127.0759541,2,-1,4,2
215,35.8170547,127.11969779999998,2,-1,4,0
216,35.8170547,127.11969779999998,2,-1,4,0
217,35.8170547,127.11969779999998,2,-1,4,0
218,35.8277482,127.1387791,2,-1,4,0
219,35.8277482,127.1387791,2,-1,4,0
220,35.8149209,127.1513097,2,-1,4,0
221,35.7710598,127.0975067,2,-1,4,0
222,35.8577999,127.1226965,2,-1,4,2
223,35.8577999,127.1226965,2,-1,4,2
224,35.82622050000001,127.1318631,2,-1,4,0
225,35.82622050000001,127.1318631,2,-1,4,0
226,35.8221567,127.1394975,2,-1,2,4
227,35.8221567,127.1394975,2,-1,2,4
228,35.8221567,127.1394975,3,-1,2,4
229,35.87714000000001,127.1396902,3,-1,2,0
230,35.8637005,127.094642,3,-1,2,0
231,35.7830969,127.13403909999998,3,-1,2,4
232,35.799645,127.1390639,3,-1,2,0
233,35.799645,127.1390639,3,-1,2,0
234,35.8001122,127.11600420000002,3,-1,2,4
235,35.8001122,127.11600420000002,3,-1,2,0
236,35.8220384,127.1537212,3,-1,2,4
237,35.8220384,127.1537212,3,-1,2,0
238,35.8210843,127.1170512,3,-1,2,4
239,35.86420839999999,127.1571452,3,-1,2,0
240,35.80952720000001,127.129583,3,-1,2,4
241,35.80952720000001,127.129583,3,-1,2,4
242,35.80280629999999,127.1135321,3,-1,2,4
243,35.80280629999999,127.1135321,3,-1,2,4
244,35.8032999,127.1227403,3,-1,2,4
245,35.806979,127.13329640000002,3,-1,2,0
246,35.806979,127.13329640000002,3,-1,2,0
247,35.87638070000001,127.1045033,3,-1,2,2
248,35.7725319,127.0978122,3,-1,2,4
249,35.7725319,127.0978122,3,-1,2,4
250,35.7725319,127.0978122,3,-1,2,4
251,35.8673984,127.1175166,3,-1,2,4
252,35.8213814,127.1242777,3,-1,2,4
253,35.8213814,127.1242777,3,-1,2,4
254,35.8471872,127.1405894,3,-1,2,4
255,35.8382206,127.12516200000002,3,-1,2,4
256,35.844182,127.12927759999998,3,-1,2,4
257,35.84033370000001,127.1255937,3,-1,2,4
258,35.80262000000001,127.1060566,3,-1,2,4
259,35.8688054,127.1180248,3,-1,2,4
260,35.8010305,127.0901371,3,-1,2,4
261,35.8471872,127.1405894,3,-1,2,4
